,n_features_to_select,mean_val_score (r2),fit time per fold (s)
8,30,0.8899682155605795,11.330354070663452
7,28,0.8898893482916559,11.234792804718017
6,25,0.8541785983627544,11.593390321731567
5,22,0.8540039021529747,27.282897663116454
4,20,0.8501507174542613,11.329165983200074
3,18,0.8485627138264844,11.135501670837403
2,15,0.7690264370891674,11.11715989112854
1,12,0.5909990200213162,11.548221921920776
0,10,0.5901956701142539,12.27619161605835
